PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	ZT1_1_BAT	ZT1_2_BAT	ZT1_3_BAT	ZT5_1_BAT	ZT5_2_BAT	ZT5_3_BAT	ZT9_1_BAT	ZT9_2_BAT	ZT9_3_BAT	ZT13_1_BAT	ZT13_2_BAT	ZT13_3_BAT	ZT17_1_BAT	ZT17_2_BAT	ZT17_3_BAT	ZT21_1_BAT	ZT21_2_BAT	ZT21_3_BAT	LAG	BH.Q	ZT_bin
chr10-30	chr10	20312337	20312487	+	184.3	0	promoter-TSS (NM_153787)	promoter-TSS (NM_153787)	-57	NM_001025392	72567	Mm.294783	NM_153787	ENSMUSG00000037608	Bclaf1	2610102K23Rik|2700025J07Rik|2810454G14Rik|5730534O06Rik|AI450190|AW556225|Btf|mKIAA0164	BCL2-associated transcription factor 1	protein-coding	422	528	714	555	668	977	934	804	452	494	583	496	443	755	1149	557	656	609	6	0.077236599220546	ZT5
chr9-2	chr9	104002473	104002623	+	183.8	0	promoter-TSS (NM_172460)	promoter-TSS (NM_172460)	4	NM_172460	74025	Mm.479273	NM_028721	ENSMUSG00000032558	Nphp3	3632410F03Rik|AI550417|C230078J01|D330020E01Rik|pcy	nephronophthisis 3 (adolescent)	protein-coding	366	498	787	581	629	961	978	768	456	510	605	459	416	758	1110	581	650	653	5	0.077236599220546	ZT5
chr14-6	chr14	21500661	21500811	+	182.7	0	intron (NM_017479, intron 1 of 16)	CpG	951	NM_017479	54169	Mm.248967	NM_017479	ENSMUSG00000021767	Kat6b	AI507552|B130044K16Rik|MYST-4|Morf|Myst4|mKIAA0383|qkf|querkopf	K(lysine) acetyltransferase 6B	protein-coding	426	488	784	521	603	888	923	852	485	497	552	455	446	697	1161	579	640	698	4	0.0546578553591281	ZT5
chr9-3	chr9	62532058	62532208	+	178.9	0	intron (NM_175484, intron 1 of 11)	intron (NM_175484, intron 1 of 11)	4911	NM_175484	235431	Mm.335229	NM_175484	ENSMUSG00000041729	Coro2b	CLIPINC|E130012P22Rik	coronin, actin binding protein, 2B	protein-coding	379	503	781	524	549	862	875	780	415	457	503	467	477	727	1189	617	644	704	22	0.0452500717492719	ZT21
chr6-5	chr6	88842261	88842411	+	177.2	0	promoter-TSS (NM_030251)	promoter-TSS (NM_030251)	-401	NR_155424	80283	Mm.166858	NM_030251	ENSMUSG00000030083	Abtb1	AI847549|BC003234|BPOZ|EF1ABP	ankyrin repeat and BTB (POZ) domain containing 1	protein-coding	418	536	774	519	594	851	881	783	447	501	531	439	425	675	1117	600	629	621	4	0.091432700055119	ZT5
chr13-26	chr13	92355005	92355155	+	176.9	0	promoter-TSS (NM_010829)	promoter-TSS (NM_010829)	-77	NM_010829	17686	Mm.343101	NM_010829	ENSMUSG00000014850	Msh3	D13Em1|Rep-3|Rep3	mutS homolog 3	protein-coding	389	506	794	520	579	838	860	792	447	455	541	470	462	721	1109	587	603	647	2	0.091432700055119	ZT1
chr4-116	chr4	135272905	135273055	+	176.5	0	promoter-TSS (NM_013885)	promoter-TSS (NM_013885)	-220	NM_013885	29876	Mm.257765	NM_013885	ENSMUSG00000037242	Clic4	D0Jmb3|TU-74|mc3s5|mtCLIC	chloride intracellular channel 4 (mitochondrial)	protein-coding	409	488	734	536	583	904	902	736	430	479	536	479	410	719	1077	602	628	646	4	0.091432700055119	ZT5
chr11-8	chr11	61175126	61175276	+	176.4	0	promoter-TSS (NM_001004143)	promoter-TSS (NM_001004143)	-142	NM_001004143	216825	Mm.30602	NM_001004143	ENSMUSG00000042506	Usp22	AI427806	ubiquitin specific peptidase 22	protein-coding	377	486	788	544	567	866	849	783	429	446	532	423	446	747	1092	608	640	666	2	0.010917051581423	ZT1
chr2-6	chr2	30982099	30982249	+	175.8	0	promoter-TSS (NM_144885)	promoter-TSS (NM_144885)	-105	NM_028846	74270	Mm.346654	NM_028846	ENSMUSG00000026854	Usp20	1700055M05Rik|AI467231|Vdu2	ubiquitin specific peptidase 20	protein-coding	358	487	775	485	575	879	960	765	442	472	539	441	454	717	1104	540	603	655	4	0.077236599220546	ZT5
chr19-1	chr19	6363596	6363746	+	175.6	0	promoter-TSS (NM_011750)	promoter-TSS (NM_011750)	-19	NM_011750	22668	Mm.256422	NM_011750	ENSMUSG00000024949	Sf1	BBP|MZFM|WBP4|Zfp162	splicing factor 1	protein-coding	435	505	779	525	573	848	850	751	456	485	496	433	455	662	1098	593	620	674	2	0.0247913445279724	ZT1
chr14-33	chr14	120478194	120478344	+	175	0	promoter-TSS (NM_029519)	promoter-TSS (NM_029519)	-192	NM_029519	76108	Mm.261448	NM_029519	ENSMUSG00000051615	Rap2a	5830461H18Rik	RAS related protein 2a	protein-coding	376	514	767	544	530	884	878	745	462	462	498	439	420	730	1068	556	674	656	2	0.0546578553591281	ZT1
chr1-18	chr1	64690761	64690911	+	174.8	0	promoter-TSS (NR_038009)	promoter-TSS (NR_038009)	-177	NR_038009	69941	Mm.69044	NR_038009	ENSMUSG00000087213	2810408I11Rik	-	RIKEN cDNA 2810408I11 gene	ncRNA	359	497	764	539	558	867	858	795	463	461	534	452	410	672	1104	605	599	648	4	0.0377238244831057	ZT5
chr3-20	chr3	104220447	104220597	+	173.7	0	promoter-TSS (NM_001159354)	promoter-TSS (NM_001159354)	-116	NM_001159354	99470	Mm.264849	NM_133853	ENSMUSG00000052539	Magi3	4732496O19Rik|6530407C02Rik|AA407180|AI120132|mKIAA1634	membrane associated guanylate kinase, WW and PDZ domain containing 3	protein-coding	346	486	820	559	539	844	889	812	460	456	575	460	424	678	1022	554	613	579	6	0.091432700055119	ZT5
chr8-19	chr8	122281857	122282007	+	173.3	0	promoter-TSS (NM_009569)	promoter-TSS (NM_009569)	-209	NM_009569	22761	Mm.3105	NM_009569	ENSMUSG00000049577	Zfpm1	FOG|Fog1	zinc finger protein, multitype 1	protein-coding	370	502	835	555	577	864	872	735	447	484	506	456	406	665	1000	540	666	614	4	0.0165323918984296	ZT5
chr7-7	chr7	66689774	66689924	+	173.2	0	promoter-TSS (NR_003961)	promoter-TSS (NR_003961)	-40	NM_152815	72635	Mm.289796	NM_152815	ENSMUSG00000053091	Lins1	2700083B01Rik|AW547219|Lins|Lins2|Wins2	lines homolog 1	protein-coding	370	484	778	515	605	833	856	797	436	468	528	431	420	710	1071	515	613	657	4	0.010917051581423	ZT5
chr2-14	chr2	93462553	93462703	+	171.9	0	promoter-TSS (NM_001271461)	promoter-TSS (NM_001271461)	-126	NM_007656	12521	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding	382	480	777	521	561	836	894	802	435	422	503	450	469	672	1049	536	602	610	4	0.091432700055119	ZT5
chr12-7	chr12	76962273	76962423	+	171	0	promoter-TSS (NM_001146176)	promoter-TSS (NM_001146176)	-100	NM_001146176	17187	Mm.268548	NM_008558	ENSMUSG00000059436	Max	AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding	379	444	762	581	530	867	857	731	425	469	535	420	431	727	1042	542	607	594	4	0.0546578553591281	ZT5
chr9-38	chr9	111271592	111271742	+	170.7	0	promoter-TSS (NM_026810)	promoter-TSS (NM_026810)	-59	NM_001324522	17350	Mm.486383	NM_026810	ENSMUSG00000032498	Mlh1	1110035C23Rik|AI317206|AI325952|AI561766	mutL homolog 1	protein-coding	379	500	726	518	546	863	830	770	421	425	504	430	444	713	1019	583	613	641	2	0.00873811946535779	ZT1
chr5-10	chr5	34573615	34573765	+	170.5	0	promoter-TSS (NM_001331081)	promoter-TSS (NM_001331081)	26	NM_001331086	11518	Mm.289106	NM_013457	ENSMUSG00000029106	Add1	AI256389	adducin 1 (alpha)	protein-coding	380	541	766	530	579	857	899	698	420	461	519	431	453	629	1042	510	581	612	4	0.091432700055119	ZT5
chr4-11	chr4	9669247	9669397	+	170.4	0	promoter-TSS (NM_023066)	promoter-TSS (NM_023066)	22	NM_001290367	65973	Mm.222206	NM_023066	ENSMUSG00000028207	Asph	2310005F16Rik|3110001L23Rik|AI848629|AW261690|AW561901|BAH|C79816|cI-37	aspartate-beta-hydroxylase	protein-coding	338	476	740	516	552	848	829	797	446	467	542	417	429	717	1081	497	581	635	6	0.0310391655363696	ZT5
chr6-8	chr6	89351790	89351940	+	169.8	0	intron (NM_008881, intron 3 of 31)	intron (NM_008881, intron 3 of 31)	10748	NM_008881	18844	Mm.3789	NM_008881	ENSMUSG00000030084	Plxna1	2600013D04Rik|NOV|PlexA1|Plxn1|mKIAA4053	plexin A1	protein-coding	381	555	832	521	528	864	904	716	405	440	459	460	442	589	1046	593	571	565	2	0.077236599220546	ZT1
chr5-18	chr5	129941512	129941662	+	169.7	0	promoter-TSS (NM_001001327)	promoter-TSS (NM_001001327)	-522	NM_001001327	69568	Mm.288718	NM_027121	ENSMUSG00000066735	Vkorc1l1	2310024K08Rik	vitamin K epoxide reductase complex, subunit 1-like 1	protein-coding	348	475	724	519	574	884	908	815	435	478	532	424	396	631	993	506	611	607	6	0.00383384259253848	ZT5
chr4-51	chr4	47353061	47353211	+	169	0	promoter-TSS (NM_009370)	promoter-TSS (NM_009370)	-86	NM_001312868	21812	Mm.197552	NM_009370	ENSMUSG00000007613	Tgfbr1	ALK5|AU017191|Alk-5|ESK2|TGFR-1|TbetaR-I|TbetaRI	transforming growth factor, beta receptor I	protein-coding	367	481	735	537	527	848	852	778	411	459	503	428	436	653	1051	533	624	596	4	0.0452500717492719	ZT5
chr5-9	chr5	36581921	36582071	+	168.8	0	intron (NM_001113362, intron 2 of 14)	CpG	401	NM_133910	100855	Mm.486203	NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|AU043625|C86258|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding	347	481	774	539	546	905	827	702	411	457	549	419	447	690	1002	534	594	578	4	0.077236599220546	ZT5
chr8-43	chr8	121652937	121653087	+	168.8	0	Intergenic	CpG-14599	-1079	NM_080855	142682	Mm.103202	NM_080855	ENSMUSG00000061410	Zcchc14	AA792890|BDG29	zinc finger, CCHC domain containing 14	protein-coding	380	447	749	540	557	826	874	715	467	435	513	436	424	695	983	524	581	658	4	0.0452500717492719	ZT5
chr10-37	chr10	80676386	80676536	+	168.6	0	promoter-TSS (NM_021462)	promoter-TSS (NM_021462)	-168	NM_021462	17347	Mm.42126	NM_021462	ENSMUSG00000020190	Mknk2	2010016G11Rik|Gprk7|Mnk2	MAP kinase-interacting serine/threonine kinase 2	protein-coding	365	491	734	531	577	920	781	737	450	454	515	459	388	632	1041	507	602	610	4	0.00873811946535779	ZT5
chr7-23	chr7	45016230	45016380	+	168.1	0	promoter-TSS (NM_001008422)	promoter-TSS (NM_001008422)	-56	NM_001008422	233208	Mm.28298	NM_001008422	ENSMUSG00000038406	Scaf1	AI480556|SR-A1	SR-related CTD-associated factor 1	protein-coding	365	477	781	488	536	821	866	738	407	441	555	414	419	632	1049	558	600	610	2	0.0377238244831057	ZT1
chr10-2	chr10	81320488	81320638	+	168	0	promoter-TSS (NM_027381)	promoter-TSS (NM_027381)	-540	NM_027381	70312	Mm.87628	NM_027381	ENSMUSG00000034889	Cactin	2510012J08Rik	cactin, spliceosome C complex subunit	protein-coding	407	482	720	503	608	837	870	772	440	453	461	426	398	608	1023	578	546	619	4	0.0649073511596943	ZT5
chr12-16	chr12	72085708	72085858	+	167.8	0	promoter-TSS (NM_001205067)	promoter-TSS (NM_001205067)	-56	NM_001205067	104771	Mm.258935	NM_024205	ENSMUSG00000005078	Jkamp	1200003C05Rik|2310047L11Rik|Jamp	JNK1/MAPK8-associated membrane protein	protein-coding	334	481	749	492	561	896	862	753	435	444	506	425	431	630	1027	533	599	580	4	0.010917051581423	ZT5
chr14-12	chr14	122181554	122181704	+	167.6	0	promoter-TSS (NM_029556)	promoter-TSS (NM_029556)	-65	NM_029556	69634	Mm.34608	NM_029556	ENSMUSG00000025545	Clybl	0610033J05Rik|2310014M14Rik|AI256068|Clb	citrate lyase beta like	protein-coding	352	445	684	510	559	870	849	776	417	448	499	441	383	706	1052	503	596	636	6	0.0452500717492719	ZT5
chr2-5	chr2	154790686	154790836	+	167.1	0	promoter-TSS (NM_001139511)	promoter-TSS (NM_001139511)	-349	NM_001139512	19383	Mm.221440	NM_023130	ENSMUSG00000027593	Raly	AI663842|Merc	hnRNP-associated with lethal yellow	protein-coding	371	462	798	512	558	812	881	748	391	478	486	414	427	633	1034	500	579	608	4	0.0649073511596943	ZT5
chr8-13	chr8	11635772	11635922	+	166.1	0	promoter-TSS (NM_001281975)	promoter-TSS (NM_001281975)	-90	NM_001281974	102334	Mm.12459	NM_133971	ENSMUSG00000031508	Ankrd10	4833425P12Rik|AW549277	ankyrin repeat domain 10	protein-coding	334	442	714	534	536	896	845	752	419	434	512	411	384	686	1026	522	580	605	5	0.0071053784429439	ZT5
chr4-19	chr4	40142922	40143072	+	165.7	0	promoter-TSS (NM_007386)	promoter-TSS (NM_007386)	-268	NM_007386	11428	Mm.331547	NM_007386	ENSMUSG00000028405	Aco1	Aco-1|Irebp|Irp1	aconitase 1	protein-coding	368	460	707	495	524	814	855	746	395	439	511	410	403	669	1042	532	577	657	2	0.077236599220546	ZT1
chr8-33	chr8	126594621	126594771	+	165.3	0	Intergenic	CpG-14677	-1260	NM_001164598	270110	Mm.334918	NM_001164598	ENSMUSG00000051495	Irf2bp2	E130305N23Rik|IRF-2BP2	interferon regulatory factor 2 binding protein 2	protein-coding	320	452	731	493	531	930	821	726	388	425	481	385	407	681	1023	565	603	620	2	0.0452500717492719	ZT1
chr7-9	chr7	19749785	19749935	+	164.6	0	promoter-TSS (NM_001159724)	promoter-TSS (NM_001159724)	-287	NM_001159724	19294	Mm.4341	NM_008990	ENSMUSG00000062300	Nectin2	AI325026|AI987993|Cd112|MPH|Pvr|Pvrl2|Pvs|nectin-2	nectin cell adhesion molecule 2	protein-coding	301	496	721	511	541	864	812	728	432	430	532	421	407	636	957	556	581	609	4	0.091432700055119	ZT5
chr5-19	chr5	110770735	110770885	+	164.5	0	promoter-TSS (NM_173066)	promoter-TSS (NM_173066)	-93	NM_173066	75560	Mm.270487	NM_029337	ENSMUSG00000029505	Ep400	1700020J09Rik|AU023439|mDomino|mKIAA1498|p400	E1A binding protein p400	protein-coding	349	448	768	526	534	848	847	732	423	473	488	389	373	665	966	546	589	565	4	0.00873811946535779	ZT5
chr14-36	chr14	61556769	61556919	+	164.4	0	promoter-TSS (NM_025697)	promoter-TSS (NM_025697)	42	NM_025697	66674	Mm.282706	NM_025697	ENSMUSG00000021930	Spryd7	6330409N04Rik|Clld6	SPRY domain containing 7	protein-coding	350	449	700	556	579	861	875	727	410	440	516	421	376	639	979	472	600	575	6	0.00488626175209741	ZT5
chr7-26	chr7	73558617	73558767	+	164.4	0	promoter-TSS (NR_037569)	promoter-TSS (NR_037569)	-297	NR_037569	69170	Mm.34539	NR_037569	ENSMUSG00000101970	1810026B05Rik	-	RIKEN cDNA 1810026B05 gene	ncRNA	379	464	731	472	500	783	816	698	403	432	507	427	443	643	1027	566	590	638	0	0.077236599220546	ZT1
chr14-16	chr14	62761210	62761360	+	164.1	0	promoter-TSS (NM_008715)	promoter-TSS (NM_008715)	-173	NM_008715	18130	Mm.319684	NM_008715	ENSMUSG00000035161	Ints6	2900075H24Rik|AI480962|DICE1|Ddx26|HDB|Notch2l	integrator complex subunit 6	protein-coding	363	465	708	521	517	860	845	732	415	429	471	428	384	650	1035	516	597	566	4	0.0132923364728598	ZT5
chr8-27	chr8	124721998	124722148	+	164	0	promoter-TSS (NM_026855)	promoter-TSS (NM_026855)	-66	NM_026855	68865	Mm.22779	NM_026855	ENSMUSG00000031982	Arv1	1110067L22Rik|AI461928|AW121084	ARV1 homolog, fatty acid homeostasis modulator	protein-coding	370	464	685	522	545	820	822	697	401	458	512	408	396	628	1072	545	578	572	4	0.0649073511596943	ZT5
chr7-13	chr7	139388841	139388991	+	164	0	promoter-TSS (NM_001127363)	promoter-TSS (NM_001127363)	-193	NM_183144	212111	Mm.28308	NM_183144	ENSMUSG00000025477	Inpp5a	-	inositol polyphosphate-5-phosphatase A	protein-coding	336	424	735	510	525	912	802	740	401	384	521	424	384	683	1056	526	539	592	4	0.0206133492264304	ZT5
chr11-55	chr11	53891748	53891898	+	163.7	0	promoter-TSS (NM_011396)	promoter-TSS (NM_011396)	-120	NM_011396	20520	Mm.42253	NM_011396	ENSMUSG00000018900	Slc22a5	Lstpl|Octn2|jvs	solute carrier family 22 (organic cation transporter), member 5	protein-coding	324	444	705	504	567	874	851	751	435	453	512	415	376	691	1018	504	525	528	6	0.00239642637535403	ZT5
chr14-14	chr14	50930939	50931089	+	163.5	0	promoter-TSS (NM_001310505)	promoter-TSS (NM_001310505)	-165	NM_001310507	219024	Mm.239117	NM_001033271	ENSMUSG00000035953	Tmem55b	BC039161|Pip4p1	transmembrane protein 55b	protein-coding	386	430	758	519	539	851	880	666	408	423	441	412	410	651	967	589	554	580	4	0.077236599220546	ZT5
chr15-32	chr15	12204919	12205069	+	162.6	0	promoter-TSS (NM_172958)	promoter-TSS (NM_172958)	-34	NM_001356498	268783	Mm.54460	NM_172958	ENSMUSG00000039458	Mtmr12	3Pap|4932703C11|C730015A02Rik|Pip3ap|mKIAA1682	myotubularin related protein 12	protein-coding	301	441	737	517	528	836	834	678	422	463	533	461	406	666	1007	518	544	517	6	0.091432700055119	ZT5
chr16-10	chr16	93711591	93711741	+	162	0	promoter-TSS (NM_026700)	promoter-TSS (NM_026700)	-241	NM_026700	70028	Mm.23230	NM_026700	ENSMUSG00000022946	Dopey2	0610038M01Rik|2610510B01Rik|AI503246|C21orf5|mKIAA0933	dopey family member 2	protein-coding	350	428	696	499	534	835	869	735	438	447	556	358	398	655	994	482	544	552	8	0.0377238244831057	ZT9
